direccion	tamano	nombre_ghidra	decompila_limpio	estado	nota
8004a994	128	FUN_8004a994	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004a994.c:7: request for member `unk8' in something not a structure or union
8004c060	128	FUN_8004c060	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004c060.c:6: request for member `unk3' in something not a structure or union
8004c6f4	128	FUN_8004c6f4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004c6f4.c:12: `NULL' undeclared (first use this function)
80051394	128	FUN_80051394	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80051394.c:7: request for member `unk0' in something not a structure or union
800448f4	132	FUN_800448f4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800448f4.c:3: parse error before `?'
80059f40	132	FUN_80059f40	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80059f40.c:9: request for member `unk46' in something not a structure or union
8005b434	132	FUN_8005b434	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005b434.c:3: parse error before `?'
80044040	136	FUN_80044040	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80044040.c:12: request for member `unk0' in something not a structure or union
80048f00	136	FUN_80048f00	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80048f00.c:9: request for member `unk38' in something not a structure or union
8005535c	136	FUN_8005535c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005535c.c:13: invalid type argument of `->'
800589e0	136	FUN_800589e0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800589e0.c:9: request for member `unk0' in something not a structure or union
80015954	140	FUN_80015954	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80015954.c:3: request for member `unk0' in something not a structure or union
80029dd0	140	FUN_80029dd0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80029dd0.c:2: parse error before `?'
8003011c	140	FUN_8003011c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003011c.c:2: parse error before `?'
8005fa80	140	FUN_8005fa80	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005fa80.c:13: `NULL' undeclared (first use this function)
80044b40	144	FUN_80044b40	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80044b40.c:2: parse error before `?'
8004b89c	144	FUN_8004b89c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004b89c.c:2: parse error before `?'
800501e8	144	FUN_800501e8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800501e8.c:10: request for member `unk4' in something not a structure or union
80054538	144	FUN_80054538	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80054538.c:2: parse error before `?'
80028998	148	FUN_80028998	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028998.c:7: request for member `unk2' in something not a structure or union
80029d3c	148	FUN_80029d3c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80029d3c.c:9: `saved_reg_gp' undeclared (first use this function)
80033388	148	FUN_80033388	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80033388.c:3: request for member `unk11F' in something not a structure or union
8003be80	148	FUN_8003be80	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003be80.c:11: request for member `unk1A' in something not a structure or union
80044aa0	148	FUN_80044aa0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80044aa0.c:15: `saved_reg_gp' undeclared (first use this function)
800457b4	148	FUN_800457b4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800457b4.c:14: `saved_reg_gp' undeclared (first use this function)
8004b680	152	FUN_8004b680	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004b680.c:2: parse error before `?'
8004c5a8	152	FUN_8004c5a8	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004c5a8.c:(.text+0x18): undefined reference to `D_80068524'
8004c640	152	FUN_8004c640	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004c640.c:(.text+0x18): undefined reference to `D_80068524'
8005a92c	152	FUN_8005a92c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005a92c.c:3: parse error before `?'
80012d88	156	FUN_80012d88	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80012d88.c:2: parse error before `?'
80044bd0	156	FUN_80044bd0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80044bd0.c:3: parse error before `?'
80054fd0	156	FUN_80054fd0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80054fd0.c:16: request for member `unk4' in something not a structure or union
80061a3c	156	FUN_80061a3c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80061a3c.c:2: parse error before `?'
80013f88	160	FUN_80013f88	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013f88.c:3: parse error before `?'
8004a8f4	160	FUN_8004a8f4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004a8f4.c:8: request for member `unk4' in something not a structure or union
8004d980	160	FUN_8004d980	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004d980.c:(.text+0x80): undefined reference to `D_80068628'
800156ec	164	FUN_800156ec	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800156ec.c:7: parse error before `?'
80028b84	164	FUN_80028b84	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028b84.c:6: `saved_reg_gp' undeclared (first use this function)
80043d40	164	FUN_80043d40	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043d40.c:17: request for member `unk8' in something not a structure or union
8004605c	164	FUN_8004605c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004605c.*
8004655c	164	FUN_8004655c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004655c.c:13: request for member `unk30' in something not a structure or union
8005b4fc	164	FUN_8005b4fc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005b4fc.c:21: invalid type argument of `unary *'
800447c4	168	FUN_800447c4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800447c4.c:2: parse error before `?'
8002cb10	172	FUN_8002cb10	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002cb10.c:2: parse error before `?'
8004b98c	172	FUN_8004b98c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004b98c.c:3: parse error before `?'
8005ee80	176	FUN_8005ee80	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005ee80.c:2: parse error before `?'
8002ef80	180	FUN_8002ef80	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002ef80.c:2: parse error before `?'
